categorie;sous_categorie;sous_sous_categorie;fil_ariane;produits;remarque
Coiffure;Coloration capillaire;Coloration capillaire homme;Coiffure > Coloration capillaire > Coloration capillaire homme;5;
Coiffure;Shampooing;Shampooing anti-poux;Coiffure > Shampooing > Shampooing anti-poux;11;
Coiffure;Shampooing;Shampooing botox;Coiffure > Shampooing > Shampooing botox;16;
Hygiène dentaire;Dentifrice;;Hygiène dentaire > Dentifrice;5;
Hygiène dentaire;Dentifrice sans fluor;;Hygiène dentaire > Dentifrice sans fluor;5;
Hygiène dentaire;Dentifrice solide;;Hygiène dentaire > Dentifrice solide;7;
Hygiène du corps;Déodorant & anti-transpirant;;Hygiène du corps > Déodorant & anti-transpirant;1;libelle variant probable
Hygiène du corps;Gel douche & savon;;Hygiène du corps > Gel douche & savon;2;libelle variant probable
Hygiène du corps;Hygiène intime;;Hygiène du corps > Hygiène intime;18;
Hygiène du corps;Lingette;;Hygiène du corps > Lingette;4;
Hygiène du corps;Produit de bain;Gel douche familial;Hygiène du corps > Produit de bain > Gel douche familial;1;
Hygiène du corps;Produit de bain;Gel douche gommant;Hygiène du corps > Produit de bain > Gel douche gommant;6;
Hygiène du corps;Produit de bain;Savon solide exfoliant;Hygiène du corps > Produit de bain > Savon solide exfoliant;2;
Hygiène du corps;Produit de bain;Shampooing douche 2 en 1;Hygiène du corps > Produit de bain > Shampooing douche 2 en 1;14;
Manucure et pédicure;Vernis et base Ongles;Durcisseur d'ongles;Manucure et pédicure > Vernis et base Ongles > Durcisseur d'ongles;13;
Maquillage;Blush, bronzer & illuminateur;;Maquillage > Blush, bronzer & illuminateur;1;libelle variant probable
Maquillage;Fond de teint et poudre;;Maquillage > Fond de teint et poudre;12;
Maquillage;Maquillage à lèvres;;Maquillage > Maquillage à lèvres;7;
Maquillage;Maquillage à lèvres;Fixateur maquillage à lèvres;Maquillage > Maquillage à lèvres > Fixateur maquillage à lèvres;7;
Maquillage;Maquillage à lèvres;Top coat lèvres;Maquillage > Maquillage à lèvres > Top coat lèvres;1;
Maquillage;Tatouages éphémères;;Maquillage > Tatouages éphémères;13;
Parfum;Eau de parfum & cologne;;Parfum > Eau de parfum & cologne;3;libelle variant probable
Parfum;Parfum pour enfant;;Parfum > Parfum pour enfant;10;
Parfum;Parfum pour enfant;Parfum solide pour enfant;Parfum > Parfum pour enfant > Parfum solide pour enfant;1;
Parfum;Parfum pour femme;Lingettes parfumées pour femme;Parfum > Parfum pour femme > Lingettes parfumées pour femme;2;
Parfum;Parfum pour homme;Eau fraîche pour homme;Parfum > Parfum pour homme > Eau fraîche pour homme;18;
Produit solaire;Graisse à traire;;Produit solaire > Graisse à traire;19;
Rasage et épilation;Après-rasage;Après-rasage solide;Rasage et épilation > Après-rasage > Après-rasage solide;4;
Rasage et épilation;Épilation et cire;Accessoires épilation;Rasage et épilation > Épilation et cire > Accessoires épilation;3;
Rasage et épilation;Épilation et cire;Cire en pain et galet;Rasage et épilation > Épilation et cire > Cire en pain et galet;11;
Rasage et épilation;Épilation et cire;Cire orientale;Rasage et épilation > Épilation et cire > Cire orientale;11;
Rasage et épilation;Épilation et cire;Épilation du visage;Rasage et épilation > Épilation et cire > Épilation du visage;9;
Rasage et épilation;Épilation et cire;Soin poils incarnés;Rasage et épilation > Épilation et cire > Soin poils incarnés;14;
Rasage et épilation;Épilation et cire;Soin préparateur épilation;Rasage et épilation > Épilation et cire > Soin préparateur épilation;9;
Rasage et épilation;Épilation et cire;Sucre à épiler;Rasage et épilation > Épilation et cire > Sucre à épiler;2;
Rasage et épilation;Mousse et gel de rasage;Soin spécifique pour le rasage;Rasage et épilation > Mousse et gel de rasage > Soin spécifique pour le rasage;2;
Rasage et épilation;Mousse et gel de rasage;Stick à raser;Rasage et épilation > Mousse et gel de rasage > Stick à raser;10;
Rasage et épilation;Soin de la barbe;;Rasage et épilation > Soin de la barbe;3;
Rasage et épilation;Soin de la barbe;Cire pour barbe & moustache;Rasage et épilation > Soin de la barbe > Cire pour barbe & moustache;8;
Rasage et épilation;Soin de la barbe;Coffret rasage et barbe;Rasage et épilation > Soin de la barbe > Coffret rasage et barbe;14;
Rasage et épilation;Soin de la barbe;Teinture pour barbe;Rasage et épilation > Soin de la barbe > Teinture pour barbe;12;
Santé;;;Santé;4;libelle vide (sous-categorie manquante)
Santé;Répulsif anti-insectes;;Santé > Répulsif anti-insectes;15;
Soin du corps et visage;Soin acné et imperfection;Masque anti-imperfections;Soin du corps et visage > Soin acné et imperfection > Masque anti-imperfections;7;
Soin du corps et visage;Soin acné et imperfection;Soin anti-acné et boutons;Soin du corps et visage > Soin acné et imperfection > Soin anti-acné et boutons;14;
Soin du corps et visage;Soin acné et imperfection;Soin anti-points noirs;Soin du corps et visage > Soin acné et imperfection > Soin anti-points noirs;15;
Soin du corps et visage;Soin acné et imperfection;Soin pour adolescent;Soin du corps et visage > Soin acné et imperfection > Soin pour adolescent;1;
Soin du corps et visage;Soin anti-âge;Masque cou et décolleté anti-âge;Soin du corps et visage > Soin anti-âge > Masque cou et décolleté anti-âge;15;
Soin du corps et visage;Soin anti-âge;Nettoyants anti-âge;Soin du corps et visage > Soin anti-âge > Nettoyants anti-âge;9;
Soin du corps et visage;Soin anti-âge;Sérum corps anti-âge;Soin du corps et visage > Soin anti-âge > Sérum corps anti-âge;5;
Soin du corps et visage;Soin anti-âge;Sérum cou et décolleté anti-âge;Soin du corps et visage > Soin anti-âge > Sérum cou et décolleté anti-âge;5;
Soin du corps et visage;Soin anti-âge;Sérum yeux anti-âge;Soin du corps et visage > Soin anti-âge > Sérum yeux anti-âge;6;
Soin du corps et visage;Soin anti-cellulite;;Soin du corps et visage > Soin anti-cellulite;2;
Soin du corps et visage;Soin anti-cellulite;Textile anti-cellulite;Soin du corps et visage > Soin anti-cellulite > Textile anti-cellulite;8;
Soin du corps et visage;Soin des mains;;Soin du corps et visage > Soin des mains;10;
Soin du corps et visage;Soin des pieds et jambes;;Soin du corps et visage > Soin des pieds et jambes;7;
Soin du corps et visage;Soin des yeux;Soins spécifiques;Soin du corps et visage > Soin des yeux > Soins spécifiques;17;
Soin du corps et visage;Soin du buste;;Soin du corps et visage > Soin du buste;1;
Soin du corps et visage;Soin du buste;Huile pour le buste;Soin du corps et visage > Soin du buste > Huile pour le buste;5;
Soin du corps et visage;Soin du buste;Sérum pour le buste;Soin du corps et visage > Soin du buste > Sérum pour le buste;17;
Soin du corps et visage;Soin pour homme;Épilation homme;Soin du corps et visage > Soin pour homme > Épilation homme;18;
Soin et hygiène bébé;Shampooing et savon bébé;;Soin et hygiène bébé > Shampooing et savon bébé;4;
Soin et hygiène bébé;Shampooing et savon bébé;Huile de bain bébé;Soin et hygiène bébé > Shampooing et savon bébé > Huile de bain bébé;19;
Soin et hygiène bébé;Shampooing et savon bébé;Savon solide bébé;Soin et hygiène bébé > Shampooing et savon bébé > Savon solide bébé;3;
Soin et hygiène bébé;Soin bébé;Coffret de soin bébé;Soin et hygiène bébé > Soin bébé > Coffret de soin bébé;11;
Soin et hygiène bébé;Soin bébé;Hygiène du nez;Soin et hygiène bébé > Soin bébé > Hygiène du nez;6;
Soin et hygiène bébé;Soin bébé;Soin pour croûtes de lait;Soin et hygiène bébé > Soin bébé > Soin pour croûtes de lait;7;
Soin et hygiène bébé;Soin de grossesse;;Soin et hygiène bébé > Soin de grossesse;4;
Soin et hygiène bébé;Soin de grossesse;Coffrets de grossesse;Soin et hygiène bébé > Soin de grossesse > Coffrets de grossesse;9;
Soin et hygiène bébé;Soin de grossesse;Soin du périnée;Soin et hygiène bébé > Soin de grossesse > Soin du périnée;18;
Soin et hygiène bébé;Soin de grossesse;Soin raffermissant;Soin et hygiène bébé > Soin de grossesse > Soin raffermissant;19;
