"name","fonction_1","fonction_2","fonction_3","fonction_4","fonction_5","fonction_6","fonction_7","fonction_8","fonction_9","fonction_10","fonction_11","nom_simplifie"
"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE","Agent colorant pour cheveux","","","","","","","","","","",""
"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE","Agent colorant pour cheveux","","","","","","","","","","",""
"1-METHYL-4-METHYLVINYL-CYCLOHEXANOL","Agent parfumant","","","","","","","","","","",""
"1-METHYL-4-METHYLVINYL-CYCLOHEXENE","Agent parfumant","","","","","","","","","","",""
"1-METHYLHYDANTOIN-2-IMIDE","Agent d'entretien de la peau","","","","","","","","","","",""
"1-NAPHTHOL","Agent colorant pour cheveux","","","","","","","","","","",""
"1,10-DECANEDIOL","Solvant","","","","","","","","","","",""
"1,2-BUTANEDIOL","Humectant","Agent d'entretien de la peau","Solvant","Agent de contrôle de la viscosité","","","","","","","",""
"1,2-DIHYDROLINALOOL","Agent parfumant","","","","","","","","","","",""
"1,2-HEXANEDIOL","Agent d'entretien de la peau","Solvant","","","","","","","","","",""
"1,2,4-TRIHYDROXYBENZENE","Agent colorant pour cheveux","","","","","","","","","","",""
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE","Agent colorant pour cheveux","","","","","","","","","","",""
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL","Agent colorant pour cheveux","","","","","","","","","","",""
"1,4-BENZENEDICARBOXYLIC ACID,1,4-DIMETHYL ESTER,POLYMER:1","","","","","","","","","","","",""
"1,4-BUTANEDIOL","Solvant","","","","","","","","","","",""
"1,5-NAPHTHALENEDIOL","Agent colorant pour cheveux","","","","","","","","","","",""
"1,5-PENTANEDIOL","Solvant","","","","","","","","","","",""
"1,6-HEXAMETHYLENE DIISOCYANATE","Non classé","","","","","","","","","","",""
"1,6-HEXANEDIAMINE","Régulateur de pH","","","","","","","","","","",""
"10-HYDROXYDECANOIC ACID","Agent d'entretien de la peau","","","","","","","","","","",""
"10-HYDROXYDECENOIC ACID","Agent d'entretien de la peau","","","","","","","","","","",""
"10-HYDROXYSTEARIC ACID","Agent d'entretien de la peau","Agent de protection de la peau","","","","","","","","","",""
"2-(2-AMINOETHOXY)ETHANOL","Agent de fixation capillaire","","","","","","","","","","",""
